"HATSUN AGRO PRODUCT LIMITED.,",,,,,,,,,,,,,
Milk Route Vehicle Running K.M.,,,,,,,,,,,,,
C.C. Name : Malkaranja CC (1280),,,,Route Name : Ter (M13833),,,,,Vehicle Model : Pickup,,,,
Points Sequence,SAP Code,Name of the HMB / B.V. / Farm / Village,Morning,,,,Evening,,,,,,
,,,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Milk Truck Time,,No. Of Milk Cans,Distance in K.M.,Google KM,HMB/B.V/Farm Lat & Long,
,,,Arrival Time,Departure Time,,,Arrival Time,Departure Time,,,,,
,,CC,,,,0,,,,0,,"18.406253381895326, 76.11028540932786",CC Location
1,231781,KHED,07:55:00,08:00:00,2,19.8,20:00:00,20:05:00,3,19.8,16.4,"18.41263170084812, 76.02907303079675",
2,231766,TER,08:25:00,08:30:00,2,21.6,20:35:00,20:40:00,2,21.6,21.6,"18.311175676656045, 76.13675396547396",
3,231765,DEOLALI,09:00:00,09:05:00,5,15.8,21:00:00,21:05:00,4,15.8,15.8,"18.408120, 76.134085",
,,CC,09:35:00,,,2.8,21:45:00,,,2.8,2.8,"18.406253381895326, 76.11028540932786",
,,Total,,,9,60,,,9,60,56.599999999999994,,
Running K.M./ Day,,W.E.F Date,Reason for change & Remarks,,,,,,,,,,
Old,0,28.01.26,New CC Malkaranja CC,,,,,,,,,,
New,120,,,,,,,,,,,,
Diff.,120,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1000,231781,26.01.2026,1,M13833,16.4,,,,,,,,
1000,231766,26.01.2026,2,M13833,21.6,,,,,,,,
1000,231765,26.01.2026,3,M13833,18.6,,,,,,,,
